Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Refugees under UNHCR's mandate,Asylum-seekers,Total count
2017,Afghanistan,AFG,Philippines,PHL,13,5,18
2017,Burundi,BDI,Philippines,PHL,10,0,10
2017,Bangladesh,BGD,Philippines,PHL,0,5,5
2017,Cambodia,KHM,Philippines,PHL,5,12,17
2017,China,CHN,Philippines,PHL,5,5,10
2017,Cameroon,CMR,Philippines,PHL,0,14,14
2017,Congo,COG,Philippines,PHL,0,6,6
2017,Dem. Rep. of the Congo,COD,Philippines,PHL,5,0,5
2017,Eritrea,ERI,Philippines,PHL,16,0,16
2017,Ethiopia,ETH,Philippines,PHL,5,0,5
2017,Palestinian,PSE,Philippines,PHL,48,9,57
2017,Cote d'Ivoire,CIV,Philippines,PHL,18,15,33
2017,Iran (Islamic Rep. of),IRN,Philippines,PHL,66,9,75
2017,Iraq,IRQ,Philippines,PHL,46,7,53
2017,Liberia,LBR,Philippines,PHL,5,0,5
2017,Lebanon,LBN,Philippines,PHL,0,5,5
2017,Sri Lanka,LKA,Philippines,PHL,20,0,20
2017,Myanmar,MMR,Philippines,PHL,10,0,10
2017,Nigeria,NGA,Philippines,PHL,5,10,15
2017,Pakistan,PAK,Philippines,PHL,77,25,102
2017,Philippines,PHL,Philippines,PHL,0,0,0
2017,Rwanda,RWA,Philippines,PHL,19,0,19
2017,Saudi Arabia,SAU,Philippines,PHL,5,5,10
2017,Somalia,SOM,Philippines,PHL,25,6,31
2017,Viet Nam,VNM,Philippines,PHL,15,0,15
2017,Stateless,XXA,Philippines,PHL,5,0,5
2017,Sudan,SDN,Philippines,PHL,5,5,10
2017,Syrian Arab Rep.,SYR,Philippines,PHL,74,40,114
2017,Turkiye,TUR,Philippines,PHL,10,11,21
2017,Unknown ,UNK,Philippines,PHL,0,6,6
2017,Yemen,YEM,Philippines,PHL,0,10,10
2018,Afghanistan,AFG,Philippines,PHL,14,6,20
2018,Burundi,BDI,Philippines,PHL,13,0,13
2018,Bangladesh,BGD,Philippines,PHL,0,5,5
2018,Cambodia,KHM,Philippines,PHL,6,10,16
2018,China,CHN,Philippines,PHL,5,5,10
2018,Cameroon,CMR,Philippines,PHL,12,12,24
2018,Congo,COG,Philippines,PHL,0,5,5
2018,Dem. Rep. of the Congo,COD,Philippines,PHL,6,0,6
2018,Eritrea,ERI,Philippines,PHL,17,5,22
2018,Ethiopia,ETH,Philippines,PHL,5,0,5
2018,Palestinian,PSE,Philippines,PHL,55,6,61
2018,Ghana,GHA,Philippines,PHL,5,0,5
2018,Guinea,GIN,Philippines,PHL,0,5,5
2018,Cote d'Ivoire,CIV,Philippines,PHL,24,22,46
2018,Iran (Islamic Rep. of),IRN,Philippines,PHL,69,10,79
2018,Iraq,IRQ,Philippines,PHL,52,9,61
2018,Liberia,LBR,Philippines,PHL,5,0,5
2018,Lebanon,LBN,Philippines,PHL,5,0,5
2018,Sri Lanka,LKA,Philippines,PHL,20,0,20
2018,Myanmar,MMR,Philippines,PHL,10,0,10
2018,Nigeria,NGA,Philippines,PHL,5,10,15
2018,Pakistan,PAK,Philippines,PHL,91,12,103
2018,Philippines,PHL,Philippines,PHL,0,0,0
2018,Rwanda,RWA,Philippines,PHL,19,0,19
2018,Saudi Arabia,SAU,Philippines,PHL,7,5,12
2018,Somalia,SOM,Philippines,PHL,29,11,40
2018,Viet Nam,VNM,Philippines,PHL,8,0,8
2018,Stateless,XXA,Philippines,PHL,5,0,5
2018,Sudan,SDN,Philippines,PHL,6,10,16
2018,Syrian Arab Rep.,SYR,Philippines,PHL,105,33,138
2018,Turkiye,TUR,Philippines,PHL,23,37,60
2018,Unknown ,UNK,Philippines,PHL,0,8,8
2018,Yemen,YEM,Philippines,PHL,10,12,22
2019,Afghanistan,AFG,Philippines,PHL,14,6,20
2019,Burundi,BDI,Philippines,PHL,13,0,13
2019,Cambodia,KHM,Philippines,PHL,13,5,18
2019,China,CHN,Philippines,PHL,5,5,10
2019,Cameroon,CMR,Philippines,PHL,24,37,61
2019,Dem. Rep. of the Congo,COD,Philippines,PHL,9,5,14
2019,Eritrea,ERI,Philippines,PHL,19,5,24
2019,Ethiopia,ETH,Philippines,PHL,5,0,5
2019,Palestinian,PSE,Philippines,PHL,54,12,66
2019,Ghana,GHA,Philippines,PHL,5,0,5
2019,Guinea,GIN,Philippines,PHL,0,5,5
2019,Cote d'Ivoire,CIV,Philippines,PHL,27,25,52
2019,Iran (Islamic Rep. of),IRN,Philippines,PHL,68,14,82
2019,Iraq,IRQ,Philippines,PHL,43,12,55
